"Time","Among Us"
"2019-01-01",0
"2019-02-01",0
"2019-03-01",0
"2019-04-01",0
"2019-05-01",0
"2019-06-01",0
"2019-07-01",0
"2019-08-01",0
"2019-09-01",0
"2019-10-01",0
"2019-11-01",0
"2019-12-01",0
"2020-01-01",0
"2020-02-01",0
"2020-03-01",0
"2020-04-01",0
"2020-05-01",0
"2020-06-01",0
"2020-07-01",1
"2020-08-01",4
"2020-09-01",69
"2020-10-01",100
"2020-11-01",71
"2020-12-01",54
"2021-01-01",36
"2021-02-01",27
"2021-03-01",23
"2021-04-01",21
"2021-05-01",17
"2021-06-01",15
"2021-07-01",13
"2021-08-01",13
"2021-09-01",13
"2021-10-01",13
"2021-11-01",12
"2021-12-01",13