"Time","Lethal Company"
"2023-08-01",0
"2023-09-01",0
"2023-10-01",0
"2023-11-01",51
"2023-12-01",100
"2024-01-01",73
"2024-02-01",34
"2024-03-01",18
"2024-04-01",21
"2024-05-01",11
"2024-06-01",12
"2024-07-01",12
"2024-08-01",14
"2024-09-01",12
"2024-10-01",11
"2024-11-01",11
"2024-12-01",11
"2025-01-01",14
"2025-02-01",12
"2025-03-01",9
"2025-04-01",5
"2025-05-01",4
"2025-06-01",6
"2025-07-01",4
"2025-08-01",4
"2025-09-01",3
"2025-10-01",5
"2025-11-01",4
"2025-12-01",5
"2026-01-01",5
"2026-02-01",4
"2026-03-01",4