"Time","Vampire Survivors"
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",31
"2022-02-01",87
"2022-03-01",56
"2022-04-01",77
"2022-05-01",59
"2022-06-01",41
"2022-07-01",28
"2022-08-01",29
"2022-09-01",22
"2022-10-01",34
"2022-11-01",40
"2022-12-01",91
"2023-01-01",100
"2023-02-01",59
"2023-03-01",42
"2023-04-01",56
"2023-05-01",31
"2023-06-01",29
"2023-07-01",36
"2023-08-01",68
"2023-09-01",63
"2023-10-01",49
"2023-11-01",46
"2023-12-01",57